Question;Answer
syarat - syarat sidang;"SYARAT SEMINAR KOMPREHENSIF
1. Surat Keterangan Nilai TOEFL (minimum 450)
2. Kartu Kendali Bimbingan ( 1 Pembimbing Utama, 1 Pembimbing Pendamping )
Yang sudah di ACC oleh kedua pembimbing
3. Lembar Pengesahan Ujian Komprehensif ( format lihat contoh )
4. Transkrip Terakhir
5. Kartu Kendali Bimbingan ( Dimasukkan Dalam Lampiran Terakhir Skripsi )
6. Fotokopi Kartu Tanda Mahasiswa
7. Fotokopi Slip SPP Terakhir"
Persyaratan seminar hasil;"SYARAT SEMINAR HASIL
1. Lembar Pengesahan Seminar Hasil ( Format dari admin )
2. Transkrip Terakhir ( Legalisir Prodi )
3. Kartu Kendali Bimbingan ( Pemb 1, Pemb 2 yang sudah di acc oleh kedua
pembimbing )
4. Laporan Seminar Hasil Tugas Akhir yg telah disetujui oleh pembimbing
5.Ringkasan Laporan Seminar Hasil"
syarat seminar hasil;"SYARAT SEMINAR HASIL
1. Lembar Pengesahan Seminar Hasil ( Format dari admin )
2. Transkrip Terakhir ( Legalisir Prodi )
3. Kartu Kendali Bimbingan ( Pemb 1, Pemb 2 yang sudah di acc oleh kedua
pembimbing )
4. Laporan Seminar Hasil Tugas Akhir yg telah disetujui oleh pembimbing
5.Ringkasan Laporan Seminar Hasil"
Persyaratan hasil;"SYARAT SEMINAR HASIL
1. Lembar Pengesahan Seminar Hasil ( Format dari admin )
2. Transkrip Terakhir ( Legalisir Prodi )
3. Kartu Kendali Bimbingan ( Pemb 1, Pemb 2 yang sudah di acc oleh kedua
pembimbing )
4. Laporan Seminar Hasil Tugas Akhir yg telah disetujui oleh pembimbing
5.Ringkasan Laporan Seminar Hasil"
syarat hasil;"SYARAT SEMINAR HASIL
1. Lembar Pengesahan Seminar Hasil ( Format dari admin )
2. Transkrip Terakhir ( Legalisir Prodi )
3. Kartu Kendali Bimbingan ( Pemb 1, Pemb 2 yang sudah di acc oleh kedua
pembimbing )
4. Laporan Seminar Hasil Tugas Akhir yg telah disetujui oleh pembimbing
5.Ringkasan Laporan Seminar Hasil"
apa persyaratan seminar hasil;"SYARAT SEMINAR HASIL
1. Lembar Pengesahan Seminar Hasil ( Format dari admin )
2. Transkrip Terakhir ( Legalisir Prodi )
3. Kartu Kendali Bimbingan ( Pemb 1, Pemb 2 yang sudah di acc oleh kedua
pembimbing )
4. Laporan Seminar Hasil Tugas Akhir yg telah disetujui oleh pembimbing
5.Ringkasan Laporan Seminar Hasil"
apa syarat - syarat seminar hasil;"SYARAT SEMINAR HASIL
1. Lembar Pengesahan Seminar Hasil ( Format dari admin )
2. Transkrip Terakhir ( Legalisir Prodi )
3. Kartu Kendali Bimbingan ( Pemb 1, Pemb 2 yang sudah di acc oleh kedua
pembimbing )
4. Laporan Seminar Hasil Tugas Akhir yg telah disetujui oleh pembimbing
5.Ringkasan Laporan Seminar Hasil"
apa persyaratan hasil;"SYARAT SEMINAR HASIL
1. Lembar Pengesahan Seminar Hasil ( Format dari admin )
2. Transkrip Terakhir ( Legalisir Prodi )
3. Kartu Kendali Bimbingan ( Pemb 1, Pemb 2 yang sudah di acc oleh kedua
pembimbing )
4. Laporan Seminar Hasil Tugas Akhir yg telah disetujui oleh pembimbing
5.Ringkasan Laporan Seminar Hasil"
apa syarat - syarat hasil;"SYARAT SEMINAR HASIL
1. Lembar Pengesahan Seminar Hasil ( Format dari admin )
2. Transkrip Terakhir ( Legalisir Prodi )
3. Kartu Kendali Bimbingan ( Pemb 1, Pemb 2 yang sudah di acc oleh kedua
pembimbing )
4. Laporan Seminar Hasil Tugas Akhir yg telah disetujui oleh pembimbing
5.Ringkasan Laporan Seminar Hasil"
sebutkan persyaratan seminar hasil;"SYARAT SEMINAR HASIL
1. Lembar Pengesahan Seminar Hasil ( Format dari admin )
2. Transkrip Terakhir ( Legalisir Prodi )
3. Kartu Kendali Bimbingan ( Pemb 1, Pemb 2 yang sudah di acc oleh kedua
pembimbing )
4. Laporan Seminar Hasil Tugas Akhir yg telah disetujui oleh pembimbing
5.Ringkasan Laporan Seminar Hasil"
sebutkan syarat - syarat seminar hasil;"SYARAT SEMINAR HASIL
1. Lembar Pengesahan Seminar Hasil ( Format dari admin )
2. Transkrip Terakhir ( Legalisir Prodi )
3. Kartu Kendali Bimbingan ( Pemb 1, Pemb 2 yang sudah di acc oleh kedua
pembimbing )
4. Laporan Seminar Hasil Tugas Akhir yg telah disetujui oleh pembimbing
5.Ringkasan Laporan Seminar Hasil"
syarat - syarat hasil;"SYARAT SEMINAR HASIL
1. Lembar Pengesahan Seminar Hasil ( Format dari admin )
2. Transkrip Terakhir ( Legalisir Prodi )
3. Kartu Kendali Bimbingan ( Pemb 1, Pemb 2 yang sudah di acc oleh kedua
pembimbing )
4. Laporan Seminar Hasil Tugas Akhir yg telah disetujui oleh pembimbing
5.Ringkasan Laporan Seminar Hasil"
Persyaratan seminar proposal;"SYARAT SEMINAR PROPOSAL
1. Surat Permohonan Judul Skripsi Kepada program Studi yang diketahui
Pembimbing Akademik dengan lampiran
a. Proposal
b. Transkrip Terakhir (Minimal 110 Sks)
c. Surat tanda terima laporan KP
d. Curriculum Vitae+ Pas Foto 3x4
e. Buku Bimbingan PA
2. Surat Kesediaan Membimbing Skripsi Sebagai Pembimbing 1
3. Surat Kesediaan Membimbing Skripsi Sebagai Pembimbing 2
4. Kartu Seminar, ( 10 Seminar dari Jurusan Teknik Elektro dan Seminar dari
Jurusan lain atau seminar ilmiah lain dengan melampirkan photo copi sertifikat )
6. Proposal Skripsi yang telah disetujui oleh Pembimbing Akademik
7. Ringkasan Proposal Skripsi Minimum 10 buah ( Untuk Peserta Seminar )"
syarat seminar proposal;"SYARAT SEMINAR PROPOSAL
1. Surat Permohonan Judul Skripsi Kepada program Studi yang diketahui
Pembimbing Akademik dengan lampiran
a. Proposal
b. Transkrip Terakhir (Minimal 110 Sks)
c. Surat tanda terima laporan KP
d. Curriculum Vitae+ Pas Foto 3x4
e. Buku Bimbingan PA
2. Surat Kesediaan Membimbing Skripsi Sebagai Pembimbing 1
3. Surat Kesediaan Membimbing Skripsi Sebagai Pembimbing 2
4. Kartu Seminar, ( 10 Seminar dari Jurusan Teknik Elektro dan Seminar dari
Jurusan lain atau seminar ilmiah lain dengan melampirkan photo copi sertifikat )
6. Proposal Skripsi yang telah disetujui oleh Pembimbing Akademik
7. Ringkasan Proposal Skripsi Minimum 10 buah ( Untuk Peserta Seminar )"
Persyaratan seminar usul;"SYARAT SEMINAR PROPOSAL
1. Surat Permohonan Judul Skripsi Kepada program Studi yang diketahui
Pembimbing Akademik dengan lampiran
a. Proposal
b. Transkrip Terakhir (Minimal 110 Sks)
c. Surat tanda terima laporan KP
d. Curriculum Vitae+ Pas Foto 3x4
e. Buku Bimbingan PA
2. Surat Kesediaan Membimbing Skripsi Sebagai Pembimbing 1
3. Surat Kesediaan Membimbing Skripsi Sebagai Pembimbing 2
4. Kartu Seminar, ( 10 Seminar dari Jurusan Teknik Elektro dan Seminar dari
Jurusan lain atau seminar ilmiah lain dengan melampirkan photo copi sertifikat )
6. Proposal Skripsi yang telah disetujui oleh Pembimbing Akademik
7. Ringkasan Proposal Skripsi Minimum 10 buah ( Untuk Peserta Seminar )"
Persyaratan sempro;"SYARAT SEMINAR PROPOSAL
1. Surat Permohonan Judul Skripsi Kepada program Studi yang diketahui
Pembimbing Akademik dengan lampiran
a. Proposal
b. Transkrip Terakhir (Minimal 110 Sks)
c. Surat tanda terima laporan KP
d. Curriculum Vitae+ Pas Foto 3x4
e. Buku Bimbingan PA
2. Surat Kesediaan Membimbing Skripsi Sebagai Pembimbing 1
3. Surat Kesediaan Membimbing Skripsi Sebagai Pembimbing 2
4. Kartu Seminar, ( 10 Seminar dari Jurusan Teknik Elektro dan Seminar dari
Jurusan lain atau seminar ilmiah lain dengan melampirkan photo copi sertifikat )
6. Proposal Skripsi yang telah disetujui oleh Pembimbing Akademik
7. Ringkasan Proposal Skripsi Minimum 10 buah ( Untuk Peserta Seminar )"
syarat seminar usul;"SYARAT SEMINAR PROPOSAL
1. Surat Permohonan Judul Skripsi Kepada program Studi yang diketahui
Pembimbing Akademik dengan lampiran
a. Proposal
b. Transkrip Terakhir (Minimal 110 Sks)
c. Surat tanda terima laporan KP
d. Curriculum Vitae+ Pas Foto 3x4
e. Buku Bimbingan PA
2. Surat Kesediaan Membimbing Skripsi Sebagai Pembimbing 1
3. Surat Kesediaan Membimbing Skripsi Sebagai Pembimbing 2
4. Kartu Seminar, ( 10 Seminar dari Jurusan Teknik Elektro dan Seminar dari
Jurusan lain atau seminar ilmiah lain dengan melampirkan photo copi sertifikat )
6. Proposal Skripsi yang telah disetujui oleh Pembimbing Akademik
7. Ringkasan Proposal Skripsi Minimum 10 buah ( Untuk Peserta Seminar )"
syarat sempro;"SYARAT SEMINAR PROPOSAL
1. Surat Permohonan Judul Skripsi Kepada program Studi yang diketahui
Pembimbing Akademik dengan lampiran
a. Proposal
b. Transkrip Terakhir (Minimal 110 Sks)
c. Surat tanda terima laporan KP
d. Curriculum Vitae+ Pas Foto 3x4
e. Buku Bimbingan PA
2. Surat Kesediaan Membimbing Skripsi Sebagai Pembimbing 1
3. Surat Kesediaan Membimbing Skripsi Sebagai Pembimbing 2
4. Kartu Seminar, ( 10 Seminar dari Jurusan Teknik Elektro dan Seminar dari
Jurusan lain atau seminar ilmiah lain dengan melampirkan photo copi sertifikat )
6. Proposal Skripsi yang telah disetujui oleh Pembimbing Akademik
7. Ringkasan Proposal Skripsi Minimum 10 buah ( Untuk Peserta Seminar )"
apa persyaratan seminar proposal;"SYARAT SEMINAR PROPOSAL
1. Surat Permohonan Judul Skripsi Kepada program Studi yang diketahui
Pembimbing Akademik dengan lampiran
a. Proposal
b. Transkrip Terakhir (Minimal 110 Sks)
c. Surat tanda terima laporan KP
d. Curriculum Vitae+ Pas Foto 3x4
e. Buku Bimbingan PA
2. Surat Kesediaan Membimbing Skripsi Sebagai Pembimbing 1
3. Surat Kesediaan Membimbing Skripsi Sebagai Pembimbing 2
4. Kartu Seminar, ( 10 Seminar dari Jurusan Teknik Elektro dan Seminar dari
Jurusan lain atau seminar ilmiah lain dengan melampirkan photo copi sertifikat )
6. Proposal Skripsi yang telah disetujui oleh Pembimbing Akademik
7. Ringkasan Proposal Skripsi Minimum 10 buah ( Untuk Peserta Seminar )"
apa syarat - syarat seminar proposal;"SYARAT SEMINAR PROPOSAL
1. Surat Permohonan Judul Skripsi Kepada program Studi yang diketahui
Pembimbing Akademik dengan lampiran
a. Proposal
b. Transkrip Terakhir (Minimal 110 Sks)
c. Surat tanda terima laporan KP
d. Curriculum Vitae+ Pas Foto 3x4
e. Buku Bimbingan PA
2. Surat Kesediaan Membimbing Skripsi Sebagai Pembimbing 1
3. Surat Kesediaan Membimbing Skripsi Sebagai Pembimbing 2
4. Kartu Seminar, ( 10 Seminar dari Jurusan Teknik Elektro dan Seminar dari
Jurusan lain atau seminar ilmiah lain dengan melampirkan photo copi sertifikat )
6. Proposal Skripsi yang telah disetujui oleh Pembimbing Akademik
7. Ringkasan Proposal Skripsi Minimum 10 buah ( Untuk Peserta Seminar )"
apa persyaratan seminar usul;"SYARAT SEMINAR PROPOSAL
1. Surat Permohonan Judul Skripsi Kepada program Studi yang diketahui
Pembimbing Akademik dengan lampiran
a. Proposal
b. Transkrip Terakhir (Minimal 110 Sks)
c. Surat tanda terima laporan KP
d. Curriculum Vitae+ Pas Foto 3x4
e. Buku Bimbingan PA
2. Surat Kesediaan Membimbing Skripsi Sebagai Pembimbing 1
3. Surat Kesediaan Membimbing Skripsi Sebagai Pembimbing 2
4. Kartu Seminar, ( 10 Seminar dari Jurusan Teknik Elektro dan Seminar dari
Jurusan lain atau seminar ilmiah lain dengan melampirkan photo copi sertifikat )
6. Proposal Skripsi yang telah disetujui oleh Pembimbing Akademik
7. Ringkasan Proposal Skripsi Minimum 10 buah ( Untuk Peserta Seminar )"
apa persyaratan sempro;"SYARAT SEMINAR PROPOSAL
1. Surat Permohonan Judul Skripsi Kepada program Studi yang diketahui
Pembimbing Akademik dengan lampiran
a. Proposal
b. Transkrip Terakhir (Minimal 110 Sks)
c. Surat tanda terima laporan KP
d. Curriculum Vitae+ Pas Foto 3x4
e. Buku Bimbingan PA
2. Surat Kesediaan Membimbing Skripsi Sebagai Pembimbing 1
3. Surat Kesediaan Membimbing Skripsi Sebagai Pembimbing 2
4. Kartu Seminar, ( 10 Seminar dari Jurusan Teknik Elektro dan Seminar dari
Jurusan lain atau seminar ilmiah lain dengan melampirkan photo copi sertifikat )
6. Proposal Skripsi yang telah disetujui oleh Pembimbing Akademik
7. Ringkasan Proposal Skripsi Minimum 10 buah ( Untuk Peserta Seminar )"
apa syarat - syarat seminar usul;"SYARAT SEMINAR PROPOSAL
1. Surat Permohonan Judul Skripsi Kepada program Studi yang diketahui
Pembimbing Akademik dengan lampiran
a. Proposal
b. Transkrip Terakhir (Minimal 110 Sks)
c. Surat tanda terima laporan KP
d. Curriculum Vitae+ Pas Foto 3x4
e. Buku Bimbingan PA
2. Surat Kesediaan Membimbing Skripsi Sebagai Pembimbing 1
3. Surat Kesediaan Membimbing Skripsi Sebagai Pembimbing 2
4. Kartu Seminar, ( 10 Seminar dari Jurusan Teknik Elektro dan Seminar dari
Jurusan lain atau seminar ilmiah lain dengan melampirkan photo copi sertifikat )
6. Proposal Skripsi yang telah disetujui oleh Pembimbing Akademik
7. Ringkasan Proposal Skripsi Minimum 10 buah ( Untuk Peserta Seminar )"
sebutkan persyaratan seminar proposal;"SYARAT SEMINAR PROPOSAL
1. Surat Permohonan Judul Skripsi Kepada program Studi yang diketahui
Pembimbing Akademik dengan lampiran
a. Proposal
b. Transkrip Terakhir (Minimal 110 Sks)
c. Surat tanda terima laporan KP
d. Curriculum Vitae+ Pas Foto 3x4
e. Buku Bimbingan PA
2. Surat Kesediaan Membimbing Skripsi Sebagai Pembimbing 1
3. Surat Kesediaan Membimbing Skripsi Sebagai Pembimbing 2
4. Kartu Seminar, ( 10 Seminar dari Jurusan Teknik Elektro dan Seminar dari
Jurusan lain atau seminar ilmiah lain dengan melampirkan photo copi sertifikat )
6. Proposal Skripsi yang telah disetujui oleh Pembimbing Akademik
7. Ringkasan Proposal Skripsi Minimum 10 buah ( Untuk Peserta Seminar )"
sebutkan syarat - syarat seminar proposal;"SYARAT SEMINAR PROPOSAL
1. Surat Permohonan Judul Skripsi Kepada program Studi yang diketahui
Pembimbing Akademik dengan lampiran
a. Proposal
b. Transkrip Terakhir (Minimal 110 Sks)
c. Surat tanda terima laporan KP
d. Curriculum Vitae+ Pas Foto 3x4
e. Buku Bimbingan PA
2. Surat Kesediaan Membimbing Skripsi Sebagai Pembimbing 1
3. Surat Kesediaan Membimbing Skripsi Sebagai Pembimbing 2
4. Kartu Seminar, ( 10 Seminar dari Jurusan Teknik Elektro dan Seminar dari
Jurusan lain atau seminar ilmiah lain dengan melampirkan photo copi sertifikat )
6. Proposal Skripsi yang telah disetujui oleh Pembimbing Akademik
7. Ringkasan Proposal Skripsi Minimum 10 buah ( Untuk Peserta Seminar )"
sebutkan persyaratan seminar usul;"SYARAT SEMINAR PROPOSAL
1. Surat Permohonan Judul Skripsi Kepada program Studi yang diketahui
Pembimbing Akademik dengan lampiran
a. Proposal
b. Transkrip Terakhir (Minimal 110 Sks)
c. Surat tanda terima laporan KP
d. Curriculum Vitae+ Pas Foto 3x4
e. Buku Bimbingan PA
2. Surat Kesediaan Membimbing Skripsi Sebagai Pembimbing 1
3. Surat Kesediaan Membimbing Skripsi Sebagai Pembimbing 2
4. Kartu Seminar, ( 10 Seminar dari Jurusan Teknik Elektro dan Seminar dari
Jurusan lain atau seminar ilmiah lain dengan melampirkan photo copi sertifikat )
6. Proposal Skripsi yang telah disetujui oleh Pembimbing Akademik
7. Ringkasan Proposal Skripsi Minimum 10 buah ( Untuk Peserta Seminar )"
persyaratan bebas administrasi;"1. Telah Menyerahkan  1 buah Skripsi dan CD di  Administrasi  ( Bukti Serah Terima Skripsi )
2. Bebas Laboratorium dari Laboratorium Terpadu Jurusan Teknik Elektro
3. Surat Publikasi Jurnal dari Pembimbing dan Ketua Jurusan
4. Telah menyerahkan data almuni di Administrasi 
5. Fotocopy lembar pengesahan di Administrasi"
apa persyaratan bebas administrasi;"1. Telah Menyerahkan  1 buah Skripsi dan CD di  Administrasi  ( Bukti Serah Terima Skripsi )
2. Bebas Laboratorium dari Laboratorium Terpadu Jurusan Teknik Elektro
3. Surat Publikasi Jurnal dari Pembimbing dan Ketua Jurusan
4. Telah menyerahkan data almuni di Administrasi 
5. Fotocopy lembar pengesahan di Administrasi"
sebutkan persyaratan bebas administrasi;"1. Telah Menyerahkan  1 buah Skripsi dan CD di  Administrasi  ( Bukti Serah Terima Skripsi )
2. Bebas Laboratorium dari Laboratorium Terpadu Jurusan Teknik Elektro
3. Surat Publikasi Jurnal dari Pembimbing dan Ketua Jurusan
4. Telah menyerahkan data almuni di Administrasi 
5. Fotocopy lembar pengesahan di Administrasi"
syarat bebas adminisrasi;"1. Telah Menyerahkan  1 buah Skripsi dan CD di  Administrasi  ( Bukti Serah Terima Skripsi )
2. Bebas Laboratorium dari Laboratorium Terpadu Jurusan Teknik Elektro
3. Surat Publikasi Jurnal dari Pembimbing dan Ketua Jurusan
4. Telah menyerahkan data almuni di Administrasi 
5. Fotocopy lembar pengesahan di Administrasi"
bebas administrasi;"1. Telah Menyerahkan  1 buah Skripsi dan CD di  Administrasi  ( Bukti Serah Terima Skripsi )
2. Bebas Laboratorium dari Laboratorium Terpadu Jurusan Teknik Elektro
3. Surat Publikasi Jurnal dari Pembimbing dan Ketua Jurusan
4. Telah menyerahkan data almuni di Administrasi 
5. Fotocopy lembar pengesahan di Administrasi"
syarat - syarat bebas adminisrasi;"1. Telah Menyerahkan  1 buah Skripsi dan CD di  Administrasi  ( Bukti Serah Terima Skripsi )
2. Bebas Laboratorium dari Laboratorium Terpadu Jurusan Teknik Elektro
3. Surat Publikasi Jurnal dari Pembimbing dan Ketua Jurusan
4. Telah menyerahkan data almuni di Administrasi 
5. Fotocopy lembar pengesahan di Administrasi"
sebutkan syarat bebas administrasi;"1. Telah Menyerahkan  1 buah Skripsi dan CD di  Administrasi  ( Bukti Serah Terima Skripsi )
2. Bebas Laboratorium dari Laboratorium Terpadu Jurusan Teknik Elektro
3. Surat Publikasi Jurnal dari Pembimbing dan Ketua Jurusan
4. Telah menyerahkan data almuni di Administrasi 
5. Fotocopy lembar pengesahan di Administrasi"
sebutkan syarat - syarat bebas adminisrasi;"1. Telah Menyerahkan  1 buah Skripsi dan CD di  Administrasi  ( Bukti Serah Terima Skripsi )
2. Bebas Laboratorium dari Laboratorium Terpadu Jurusan Teknik Elektro
3. Surat Publikasi Jurnal dari Pembimbing dan Ketua Jurusan
4. Telah menyerahkan data almuni di Administrasi 
5. Fotocopy lembar pengesahan di Administrasi"
sebutkan alur wisuda;"1. MAHASISWA SUDAH SELESAI UJIAN KOMPREHENSIF 
2. TRANSKRIP MATAHARI 
Mahasiswa wajib mengecek dan memastikan bahwa tidak ada  Nilai E di Transkrip ataupun tidak ada mata kuliah double di KHS. Jika masih ada nilai E ataupun mata kuliah double di KHS, Mahasiswa Wajib Mengurus surat penghapusan Matakuliah di Transkrip dan Menyunting Mata Kuliah di KHS.
3. PUBLIKASI JURNAL Mahasiswa membawa fotocopi Publikasi Jurnal ke admin prodi untuk dibuatkan surat publikasi Jurnal tersebut.   
4. CETAK SKRIPSI   
5. SURAT REPOSITORY DAN BEBAS ADMINISTRASI ( admin prodi )
   Mahasiswa sudah publikasi jurnal, cetak skripsi dan bebas administrasi lab dll
6. MENGISI FORM DATA ALUMNI DI ADMIN PRODI      
7. PENGISIAN DATA TUGAS AKHIR DI SIAKADU MAHASISWA
   Mahasiswa Mengisi Data Tugas Akhir di SIAKADU ( Sesuai Petunjuk bisa melihat di Form data    
    alumni ), setelah mahasiswa mengisi Data Tugas Akhir ( Admin Prodi Menambahkan Nama Penguji dan Pembimbing Mahasiswa ).
8. MENGUPLOAD SERTIFIKAT PKKMB DAN TOEFL
     Mahasiswa Mengisi/Mengupload ( SERTIFIKAT PKKMB dan SERTIFIKAT TOEFL ) di Web Siakadu      
     Mahasiswa bagian BIODATA. ( Admin Prodi yang memvalidasi )
9. SKPI ( SURAT KETERANGAN PENDAMPING IJAZAH )
   Mahasiswa Mengisi/Mengapload data sertifikat di Web skpi.unila.ac.id SEMUA SERTIFIKAT 
   KEGIATAN yang sudah dilaksanakan Selama Masa Studi Mahasiswa di Universitas Lampung.
   ( sertifikat Fakultas, Universitas, Nasional/Internasional ). Minimal point penilaian 25 point jika kurang dari point tersebut mahasiswa belum bisa mendaftar wisuda.
   Setelah Mahasiswa Mengisi Data SKPI diweb SKPI tersebut  , Mahasiswa Menyerahkan Vtocopian 
    Sertifikat ke bagian Admin Prodi untuk di Validasi.

Keterangan : 
Jika Point 5 dan 6 sudah divalidasi , mahasiswa bisa mencetaK BIODATA ONLINE tersebut untuk syarat wisuda."
